Fecha,Clics,Impresiones,CTR,Posición
2026-07-28,3,68,4.41%,10
2026-07-29,3,67,4.48%,10
2026-07-30,2,87,2.3%,7.9
2026-07-31,0,63,0%,8.4
2026-08-01,3,53,5.66%,8.6
2026-08-02,2,46,4.35%,11.6
2026-08-03,5,111,4.5%,6.7
2026-08-04,1,103,0.97%,9.2
2026-08-05,2,94,2.13%,8.4
2026-08-06,4,82,4.88%,9
2026-08-07,4,44,9.09%,8.3
2026-08-08,1,50,2%,10.1
2026-08-09,3,61,4.92%,10
2026-08-10,4,115,3.48%,7.5
2026-08-11,1,70,1.43%,10.4
2026-08-12,0,102,0%,7.8
2026-08-13,3,99,3.03%,8.6
2026-08-14,5,93,5.38%,7.5
2026-08-15,3,56,5.36%,7.3
2026-08-16,1,55,1.82%,7.7
2026-08-17,0,62,0%,8.6
2026-08-18,2,101,1.98%,9.7
2026-08-19,5,92,5.43%,8.1
2026-08-20,4,77,5.19%,11.4
2026-08-21,2,84,2.38%,8.3
2026-08-22,2,43,4.65%,10.5
2026-08-23,1,47,2.13%,9
2026-08-24,3,84,3.57%,7.2
