País,Clics,Impresiones,CTR,Posición
Argentina,65,1742,3.73%,9
España,1,47,2.13%,7.23
Uruguay,1,20,5%,4.85
México,1,19,5.26%,4.84
Japón,1,2,50%,36
Estados Unidos,0,141,0%,6.33
Chile,0,32,0%,13.12
Paraguay,0,13,0%,4.92
Brasil,0,9,0%,4.67
Reino Unido,0,7,0%,5.43
Perú,0,6,0%,2.67
Colombia,0,6,0%,3.5
Alemania,0,5,0%,6.2
Hong Kong,0,4,0%,7.5
Venezuela,0,4,0%,8
Ecuador,0,3,0%,2.67
Guatemala,0,3,0%,2.67
Emiratos Árabes Unidos,0,3,0%,4
Bangladés,0,3,0%,4.33
China,0,3,0%,10.33
Francia,0,3,0%,11
El Salvador,0,3,0%,13.67
Vietnam,0,2,0%,2
Canadá,0,2,0%,6
Panamá,0,2,0%,8.5
Suecia,0,2,0%,11
Indonesia,0,2,0%,11.5
Pakistán,0,2,0%,13.5
Malasia,0,2,0%,15.5
Australia,0,1,0%,2
Costa de Marfil,0,1,0%,2
Corea del Sur,0,1,0%,3
La India,0,1,0%,4
Tailandia,0,1,0%,4
Taiwán,0,1,0%,5
Suiza,0,1,0%,6
República Dominicana,0,1,0%,6
Cuba,0,1,0%,7
Turquía,0,1,0%,7
Dinamarca,0,1,0%,8
San Martín,0,1,0%,9
Arabia Saudí,0,1,0%,9
Portugal,0,1,0%,10
Bolivia,0,1,0%,12
Filipinas,0,1,0%,25
Jordania,0,1,0%,78
